"Time","Type","NbrCalls"
2016-12-28 22:00:00,"Vehicles / Parking-Abandoned On Street-Car",3
2016-12-28 23:00:00,"Animals / Pets-Dead Animal -Curb",1
2016-12-28 23:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 23:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",1
2016-12-28 23:00:00,"Property Violations",34
2016-12-28 23:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 23:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 23:00:00,"Trash / Recycling-Trash Collection-Missed by City",3
2016-12-28 23:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",0
2016-12-28 23:00:00,"Trees-Trimming-Tree Limbs",1
2016-12-28 23:00:00,"Vehicles / Parking-Abandoned On Street-Car",0
